,mean,sd,median,mode_val,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,fft_mode,fft_max,fft_min,centroid,peakf,mnf,meanf,minf,maxf,modid,dom_mean,dom_max,dom_min,dom_max_min,label
1718,1066.5110136538826,1390.631561719086,558.2807832724859,374.97510786591437,375.3235977431132,978.2110852970462,602.8874875539329,7.612423094682181,84.30438151034505,0.8200496854385725,0.00014471776,0.0,0.0,0.0,0.09673722173470692,11024.825755061402,5512.412877530701,165.12153362759562,0.0,200.45454545454547,0.05263157894736842,427.3,1116.0,1.0,1115.0,Male
1719,1587.7823304924102,1865.3658453093935,584.8637739656912,559.4349142280524,392.3309788092835,2154.6417759838546,1762.310797174571,8.13314598947671,88.07936485026964,0.8491162515018488,0.0002817195,0.0,0.0,0.0,0.1440195037794874,11024.772956609486,5512.386478304743,169.04534963856105,0.0,200.45454545454547,0.058823529411764705,1337.5,5492.0,1.0,5491.0,Male
1720,1628.9099799053192,1741.1125648092575,981.4315174428596,479.86455029761436,482.62041275445637,1977.3313127841398,1494.7109000296834,5.015758743812944,37.12260906836418,0.8756572340926827,0.00023305124,0.0,0.0,0.0,0.14774924521022115,11024.827758596446,5512.413879298223,151.97913504753816,0.0,200.45454545454547,0.043478260869565216,570.6666666666666,1502.0,1.0,1501.0,Female
1721,1281.6216305985915,1359.9387627623655,876.3398310479499,221.55084906147306,482.1765910224868,1335.7543485367237,853.577757514237,5.96757962055819,53.577133256664965,0.8419263965743045,0.00015954167,0.0,0.0,0.0,0.11624885996744502,11024.810316053885,5512.405158026942,171.73861987943636,0.0,200.45454545454547,0.045454545454545456,638.304347826087,1545.0,1.0,1544.0,Female
1722,1497.677688773791,1755.0211648890086,720.0971904150141,418.3460872479472,410.95626431324354,1798.6007931631568,1387.6445288499133,8.308364450924165,97.9918632004897,0.8553437266020583,0.00033947596,0.0,0.0,0.0,0.13584631059722388,11024.794727140701,5512.3973635703505,170.6699037975388,0.0,200.45454545454547,0.05,521.3809523809524,1759.0,1.0,1758.0,Female
1723,1476.623493844342,1546.2812165658975,721.8519817607856,455.02455278849527,454.7022974394949,2253.2094002104523,1798.5071027709573,5.480272986407845,40.08380348962892,0.865387484289554,0.00013730273,0.0,0.0,0.0,0.13393410375005368,11025.0,5512.5,165.95398379421985,0.0,200.45454545454547,0.05,807.4285714285714,3947.0,1.0,3946.0,Male
1724,3128.665308883529,2712.1141587530005,2174.563122219869,545.6841770811269,524.666384240627,6094.770705359035,5570.104321118408,6.516193007868181,65.79027364111312,0.9054983449384307,0.00032804214,0.0,0.0,0.0,0.28377916633864203,11025.000000000002,5512.500000000001,142.97011940539286,0.0,200.45454545454547,0.041666666666666664,2516.08,5492.0,43.0,5449.0,Male
1725,1038.0086088994744,1354.3486933028285,477.1347514670349,373.90619606489474,327.7625560925095,997.5588971349672,669.7963410424577,8.526068920005867,104.3678956607543,0.8125634826561325,0.0001771015,0.0,0.0,0.0,0.09415044071650562,11025.0,5512.5,165.00716732213286,0.0,200.45454545454547,0.05555555555555555,386.57894736842104,773.0,1.0,772.0,Male
1726,1784.354280081851,2026.7819222431199,719.2762384788549,367.44276592431083,463.2838272146791,2339.208704393255,1875.924877178576,6.742614320025175,62.21960590520434,0.8708775332240843,0.0003457078,0.0,0.0,0.0,0.1618484846699898,11024.843907066303,5512.421953533151,154.90916068558562,0.0,200.45454545454547,0.058823529411764705,431.8888888888889,1631.0,1.0,1630.0,Male
1727,1636.238031155499,1529.7028438119114,1027.7366539112977,569.4278903456495,534.8472492315412,2321.052631578947,1786.2053823474057,5.789691040979813,48.977053376653124,0.8632503820396927,0.00015428984,0.0,0.0,0.0,0.14841471622032504,11024.76946239257,5512.384731196285,172.58158424791563,0.0,200.45454545454547,0.047619047619047616,573.7727272727273,1330.0,1.0,1329.0,Female
1728,1347.0043700221545,1800.8979243562353,630.117739003381,610.2626616150461,341.6571807200258,1171.824190013422,830.1670092933962,5.053567264854954,34.40189070177885,0.8481969543896246,0.00023913723,0.0,0.0,0.0,0.12217934291931488,11024.812687949167,5512.406343974582,161.86704142788554,0.0,200.45454545454547,0.0625,348.70588235294116,773.0,1.0,772.0,Male
1729,1797.6755472002383,1603.881660589633,1075.4539782981662,535.0248434749672,684.8711035850359,2456.004768164702,1771.133664579666,5.0693088786530796,37.082359417921154,0.8754397886169053,0.00014690802,0.0,0.0,0.0,0.1630581045224027,11024.754350393261,5512.377175196631,181.84968249043573,92.25941422594143,200.45454545454547,0.034482758620689655,828.4,2274.0,1.0,2273.0,Male
1730,1713.8789270456357,1480.0577989751077,1195.1858429531903,592.1984016237473,633.356590130661,2359.203348978815,1725.846758848154,5.80540121971802,57.73387731414761,0.8799269900710537,0.00021222756,0.0,0.0,0.0,0.1554566881478883,11024.800202968412,5512.400101484206,173.85007832899205,0.0,200.45454545454547,0.038461538461538464,1012.6666666666666,4505.0,1.0,4504.0,Male
1731,1458.1115819074355,1785.7538025380527,621.1350371771979,591.7530581243503,410.76006715880925,1554.3066918956372,1143.5466247368279,7.385235797647465,83.26634056235193,0.8483928762787977,0.00017983954,0.0,0.0,0.0,0.13225854349977165,11024.70618020947,5512.353090104735,166.66631237566133,0.0,200.45454545454547,0.05555555555555556,402.36842105263156,858.0,1.0,857.0,Male
1732,1206.8433445810947,1632.973289992902,556.9317023445464,561.427115188583,286.7074413863404,1099.3781855249742,812.6707441386338,13.904534245965117,265.77295467508407,0.7933180533950467,0.00018057901,0.0,0.0,0.0,0.10946672865002607,11024.750254841996,5512.375127420999,155.0235619545423,0.0,200.45454545454547,0.08333333333333333,304.0769230769231,601.0,1.0,600.0,Female
1733,1994.1112043772102,2215.008131197297,798.5968699406368,505.51358157942076,464.0852671343767,2853.2649757150566,2389.1797085806797,7.848339920556563,83.46280886710771,0.8666185006480636,0.00028558663,0.0,0.0,0.0,0.18087537983549318,11024.779636625293,5512.389818312646,154.45807304015136,0.0,200.45454545454547,0.05555555555555555,1364.2105263157894,5492.0,1.0,5491.0,Male
1734,1294.640683102999,1619.8535852175953,699.4597894445852,188.45285539865003,375.38183326038376,1342.536110023267,967.1542767628832,10.093004752174195,178.32424152944637,0.8385610940056321,0.00025680024,0.0,0.0,0.0,0.1174304315678732,11024.746020410514,5512.373010205257,154.51864783310455,0.0,200.45454545454547,0.07142857142857142,366.6,816.0,1.0,815.0,Female
